,Mean C1,Mean C2,Mean C3,Mean C4
219,-3.695310296833748e-11,9.946333519585972e-09,4.202124999999999e-13,4.2001250000000007e-13
220,5.119249157344028e-10,-1.4467707497062496e-10,4.4074305555555537e-13,4.406083333333333e-13
221,-4.394593699525555e-10,-4.181101152213749e-09,4.6495e-13,4.648125e-13
222,-1.3432274357783335e-09,-5.942430139488889e-09,4.885513888888889e-13,4.884361111111112e-13
223,-1.7129609004165273e-09,-1.4673851972188882e-10,5.160166666666667e-13,5.157388888888889e-13
224,1.0967604352761113e-09,2.416023929456806e-09,5.429888888888887e-13,5.428763888888889e-13
225,-1.2314114583030554e-09,3.3200233496897226e-09,5.739416666666668e-13,5.737402777777779e-13
226,7.931890555527501e-10,1.686221116173055e-09,6.048708333333333e-13,6.046569444444444e-13
227,-9.10768300031389e-11,-5.224868133455135e-10,6.399611111111111e-13,6.396986111111111e-13
228,-5.1419625645293045e-09,-6.83666174207611e-09,6.753361111111109e-13,6.750749999999998e-13
229,1.9178710602280565e-09,-6.755686987791943e-10,7.150069444444446e-13,7.147374999999998e-13
230,-1.592088720909861e-09,1.390710199389027e-09,7.553611111111111e-13,7.550486111111109e-13
231,5.501837960750138e-09,1.5060489208145826e-09,8.006972222222225e-13,8.003236111111112e-13
232,5.427686591705e-09,3.1565262781768063e-09,8.462347222222219e-13,8.45772222222222e-13
233,-2.4952932239455567e-09,2.726364171231527e-09,8.976194444444442e-13,8.97211111111111e-13
234,-4.268335533592639e-09,3.948886320733196e-09,9.47115277777778e-13,9.465805555555557e-13
235,-4.171335775561111e-09,-5.533839762825138e-09,1.0046333333333334e-12,1.0040111111111112e-12
236,-1.5924751899356939e-09,-4.900979646523335e-09,9.732041666666666e-13,9.719124999999997e-13
237,2.8106411781755556e-09,-2.4049674764381945e-10,1.0315458333333333e-12,1.0298791666666664e-12
238,-1.884999779913333e-07,3.088217014779167e-07,6.999958333333333e-13,6.970347222222221e-13
239,-2.953244678292778e-07,4.9808975817049994e-08,6.616777777777779e-13,6.643194444444444e-13
240,-8.600630802204443e-08,-4.7142804925191675e-07,4.5204444444444453e-13,4.5114027777777785e-13
241,-2.7499058571952776e-07,-1.240525847003611e-07,3.259069444444444e-13,3.259374999999999e-13
242,-2.443507378945834e-07,6.981216167446668e-08,3.0957222222222227e-13,3.095305555555556e-13
243,-9.353926245167501e-09,1.9901257882862497e-08,2.455972222222223e-13,2.4575972222222224e-13
244,-8.446083736551667e-08,-7.902558966682918e-08,2.4399583333333337e-13,2.4362777777777773e-13
245,-3.794671542808611e-08,-6.376619381386667e-08,2.162166666666667e-13,2.160958333333333e-13
246,-6.772076517516249e-08,3.83999162253389e-09,2.1275972222222222e-13,2.1253888888888892e-13
247,-3.6462737501063883e-09,-1.1752633327e-08,2.0196944444444443e-13,2.0193750000000004e-13
248,1.605726704959722e-09,-2.266280474208334e-08,1.9780694444444442e-13,1.9774166666666664e-13
249,-4.017064993659306e-08,6.811065986710695e-09,1.9537222222222221e-13,1.9543333333333337e-13
250,4.0854587002501396e-08,4.798974589803056e-08,1.9140138888888882e-13,1.9137500000000003e-13
